uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
1,Jamie Carragher,Prime Hero,N\A,5467,88,5,3,7,-1,8446976,0,2048,0,111,12,111,3,7,2,3,79,81,66,64,88,80,87,89,91,86,89,54,67,74,70,66,43,44,86,74,76,90,76,74,89,91,46,61,71,10,10,10,10,10
3,Laura Georges,Prime Hero,N\A,227315,89,5,-1,-1,-1,52224,0,8192,0,112,11,13,112,0,2,3,85,89,80,82,94,81,90,90,92,83,87,46,59,72,59,62,47,46,88,74,86,89,63,74,90,94,43,65,56,10,10,10,10,10
5,José María Gutiérrez Hernández,Prime Hero,N\A,262285,88,14,18,-1,-1,2424897,0,32,0,121,18,22,121,131,4,4,84,81,83,80,71,82,77,86,66,87,70,92,93,89,83,88,86,81,76,93,94,55,87,93,68,61,83,84,80,10,10,10,10,10
7,Marek Hamšík,Prime Hero,N\A,171877,89,18,14,-1,-1,27263136,0,4,0,131,133,131,133,18,3,5,84,86,80,86,83,94,84,88,81,89,81,92,88,90,86,89,87,73,81,91,93,75,92,91,79,74,84,83,85,10,10,10,10,10
9,Eden Hazard,Prime Hero,N\A,183277,90,16,27,-1,-1,5767425,0,65536,0,129,130,27,129,130,3,4,95,91,94,93,66,85,70,89,51,91,50,89,88,92,81,95,88,82,65,85,88,35,85,85,34,26,81,86,91,10,10,10,10,10
11,Tim Howard,Prime Hero,N\A,16254,89,0,-1,-1,-1,536870912,11,268435456,0,101,2,101,0,0,0,3,58,54,61,60,77,25,78,83,44,64,25,17,60,31,15,18,20,19,17,43,35,23,65,43,15,16,13,18,32,87,85,89,88,87
13,Maicon Douglas Sisenando,Prime Hero,N\A,135455,90,3,12,-1,-1,16812036,0,512,0,105,106,3,4,105,3,4,85,91,80,80,81,87,88,87,85,84,87,89,80,89,91,86,80,76,77,81,84,85,95,81,86,92,89,85,70,10,10,10,10,10
15,Blaise Matuidi,Prime Hero,N\A,170890,88,10,14,-1,-1,14692352,0,64,0,114,114,118,19,20,3,4,87,84,80,83,82,96,84,89,86,86,93,78,84,85,74,80,70,61,70,81,88,85,85,81,89,83,73,78,60,10,10,10,10,10
17,Mohammed Noor,Prime Hero,N\A,168880,88,18,14,-1,-1,1376800,0,2097152,0,131,32,131,21,22,3,4,81,88,80,82,81,80,87,87,75,92,63,90,85,88,82,85,86,82,78,87,88,60,89,87,71,58,82,79,88,10,10,10,10,10
19,Celia Šašić,Prime Hero,N\A,226306,91,25,-1,-1,-1,2359313,0,134217728,0,144,41,42,43,144,3,4,87,85,76,75,90,80,93,88,80,84,42,93,82,89,71,87,94,78,94,74,86,47,88,74,49,41,90,74,89,10,10,10,10,10
21,Jaap Stam,Prime Hero,N\A,5740,89,5,-1,-1,-1,134233088,0,32768,0,111,12,13,111,0,2,3,82,88,70,71,84,82,93,86,92,91,88,54,53,82,63,61,43,40,89,70,76,91,83,70,93,89,44,47,54,10,10,10,10,10
23,Fara Williams,Prime Hero,N\A,227271,88,14,10,-1,-1,204,0,262144,0,119,121,18,119,121,2,5,87,84,82,84,80,90,80,87,69,85,81,85,93,89,86,87,88,96,70,93,90,77,94,93,80,77,81,85,90,10,10,10,10,10
25,José Roberto da Silva Júnior,Prime Hero,N\A,28765,89,16,7,14,27,76284424,0,65536,0,127,127,122,9,18,4,4,90,88,95,89,86,96,78,87,80,91,87,90,88,88,87,92,77,88,69,87,90,81,87,87,80,78,84,87,84,10,10,10,10,10
27,Yaya Touré,Prime Hero,N\A,20289,89,14,14,18,10,19169316,0,1,0,20,0,0,0,0,3,4,80,84,80,71,80,95,94,89,83,88,81,86,92,92,76,86,82,86,74,88,93,80,92,88,89,86,75,87,88,10,10,10,10,10
29,Gianluigi Buffon,Icon,N\A,1179,91,0,-1,-1,-1,0,0,0,4,101,101,0,0,0,0,2,53,48,64,58,78,42,75,88,42,70,28,14,67,26,13,25,19,17,13,35,37,18,59,35,16,14,18,23,25,94,86,78,93,89
30,Gareth Bale,Icon,N\A,71557,88,23,12,25,27,172228613,0,131072,0,136,35,136,39,0,3,3,94,95,85,79,84,87,79,90,67,87,62,86,82,89,84,90,88,87,85,82,85,64,92,82,64,58,87,86,82,10,10,10,10,10
31,Nadine Angerer,Icon,N\A,226293,92,0,-1,-1,-1,0,1,0,4,102,102,0,0,0,0,3,60,57,61,61,73,43,70,93,52,64,29,12,63,26,12,13,12,18,9,32,35,27,59,32,21,26,11,20,23,92,88,79,94,92
32,Julie Foudy,Icon,N\A,71608,90,14,10,-1,-1,2097312,0,8388608,0,118,118,16,0,0,2,4,78,82,83,85,78,92,76,89,80,86,78,88,92,88,81,87,84,79,77,90,92,73,83,90,79,71,67,78,87,10,10,10,10,10
33,Aya Miyama,Icon,N\A,227002,90,16,14,27,-1,17301537,0,8,0,130,29,130,21,0,3,5,85,84,91,92,81,87,65,86,58,85,61,87,90,91,87,89,85,91,71,87,88,50,87,87,66,58,71,85,90,10,10,10,10,10
34,Lotta Schelin,Icon,N\A,226369,90,25,16,27,-1,4849666,0,1,0,143,143,39,0,0,3,4,90,91,81,81,80,85,89,86,61,88,39,93,85,90,78,91,93,76,87,75,86,43,84,75,44,38,89,82,88,10,10,10,10,10
35,Marinette Pichon,Icon,N\A,71587,88,25,-1,-1,-1,17629185,0,33554432,0,141,141,0,0,0,3,4,82,87,87,85,82,88,74,87,58,86,41,91,82,90,73,88,92,79,80,75,85,37,84,75,43,33,92,82,82,10,10,10,10,10
36,Lilian Thuram,Icon,N\A,1615,88,3,5,-1,-1,134261760,0,16384,0,103,103,12,0,0,2,3,89,88,77,83,86,89,90,83,90,84,88,68,74,77,74,71,57,42,87,78,83,92,63,78,88,94,55,63,42,10,10,10,10,10
37,Kylian Mbappé,Normal,N\A,231747,91,25,27,-1,-1,50724865,0,4194304,0,141,43,141,39,0,4,4,97,97,93,82,88,88,77,93,64,88,38,93,83,92,78,93,94,69,73,71,86,26,90,71,34,32,84,80,84,10,10,10,10,10
41,Rodrigo Hernández Cascante,Normal,N\A,231866,91,10,14,-1,-1,136347780,0,256,0,116,14,116,18,0,2,4,65,66,66,67,83,91,83,93,85,94,84,76,84,90,76,84,74,64,81,91,93,92,92,91,87,82,71,86,62,10,10,10,10,10
42,Erling Haaland,Normal,N\A,239085,91,25,-1,-1,-1,2129940,0,33554432,0,142,142,0,0,0,2,3,80,94,77,69,92,76,93,94,88,87,43,96,74,83,58,79,96,62,83,66,77,38,94,66,47,29,90,77,90,10,10,10,10,10
43,Thibaut Courtois,Normal,N\A,192119,89,0,-1,-1,-1,268435456,1,0,2,102,102,0,0,0,0,3,42,52,63,45,68,38,70,88,23,66,15,13,44,23,14,13,14,20,13,35,33,20,57,35,18,16,12,19,27,85,89,76,90,88
47,Jude Bellingham,Normal,N\A,252371,90,18,14,-1,-1,348160,0,8388608,0,131,32,33,131,0,3,4,81,80,82,79,84,93,77,91,85,87,82,91,90,89,66,89,90,68,75,89,89,77,85,89,79,77,77,73,74,10,10,10,10,10
48,Lautaro Martínez,Normal,N\A,231478,89,25,-1,-1,-1,8454148,0,1,0,143,143,0,0,0,3,4,84,80,89,92,93,83,85,92,87,88,48,92,79,89,68,85,93,65,86,73,79,55,87,73,51,44,92,80,74,10,10,10,10,10
